regex,rat,redos,rescue,revealer,saferegex,k
(x86_64|aarch64)\ (\d+)\.(\d+)\.(\d+).*Chrome.*(?:CitrixChromeApp)$,0,1,0,0,0,1
(|\|)(?:[^\n]|\\\\.(?!\n)|(?:<expr>))*?\1,0,1,0,0,0,1
"/(.*?)rgb(a)?\((\d{1,3}),(\d{1,3}),(\d{1,3})(,[01]??\.([0-9]{0,3}))??\)/",0,0,0,0,1,1
/\[[^\]]*?\]\([^\)]*?\)|`[^`]*?`|<[^>]*?>/g,0,0,0,0,1,1
"/^([`~]+|[^`~])(?: {2,}\n)|[\s\S]*?(?:(?=[\\\\<!\[`~]|\b_|https?://|ftp?://|www\.|$)|[^ ](?= {2,}\n))/",0,0,1,1,0,2
/^[\s]*/,0,0,0,0,1,1
/^\s+/,0,0,0,0,1,1
9.80.*Version,0,1,0,0,1,2
; *((?:SCH|SGH|SHV|SHW|SPH|SC|SM)\-[A-Za-z0-9 ]+)(\/?[^ ]*|) Build,0,1,0,0,0,1
; *((Mi|MI|HM|MI-ONE|Redmi)[ -](NOTE |Note |)[^;/]*) (Build|MIUI)/,0,0,0,0,1,1
; *(?:Intex[ _]|)(AQUA|Aqua)([ _\.\-])([^;\/]+) *(?:Build|;),0,1,0,0,0,1
; *(?:LAVA[ _]|)IRIS[ _\-]?([^\/;\)]+) *(?:;|\)|Build),0,1,0,0,0,1
"; *(?:Polaroid[ _]|)((?:MIDC\d{3,}|PMID\d{2,}|PTAB\d{3,})[^;\/]*)(\/[^;\/]*|) Build\/",0,1,0,0,0,1
; *(A2|A5|A8|A900)_?(Classic|) Build,0,0,0,0,1,1
; *(ALLVIEW[ _]?|Allview[ _]?|)(AX1_Shine|AX2_Frenzy) Build,0,0,0,0,1,1
; *(A\d+)[ _](Duo|) Build,0,0,0,0,1,1
; *(Advent |)(Vega(?:Bean|Comb|)).* Build,0,1,0,0,0,1
; *(MODECOM |)(FreeTab) ?([^;/]+) Build,0,0,0,0,1,1
; *(NOOK |)(BNRV200|BNRV200A|BNTV250|BNTV250A|BNTV400|BNTV600|LogicPD Zoom2) Build,0,0,0,0,1,1
; *(NT-\d+[^ ;\/]*|Net[Tt]AB [^;\/]+|Mercury [A-Z]+|iconBIT)(?: S\/N:[^;\/]+|) Build,0,1,0,0,0,1
; *(SAMSUNG |Samsung |)((?:Galaxy (?:Note II|S\d)|GT-I9082|GT-I9205|GT-N7\d{3}|SM-N9005)[^;\/]*)\/?[^;\/]* Build\/,0,1,0,0,0,1
; *(SAMSUNG-|)(GT\-[BINPS]\d{4}[^/]*)(/[^ ]*) Build,0,0,0,0,1,1
; *(SAMSUNG-|)(GT\-[BINPS]\d{4}[^\/]*)(\/[^ ]*) Build,0,1,0,0,0,1
; *(SKY[ _]|)(IM\-[AT]\d{3}[^;/]+).* Build/,0,0,0,0,1,1
