regex,rat,redos,rescue,revealer,saferegex,k
(HbbTV)\/1\.1\.1.*CE-HTML\/1\.\d;(Vendor\/)*(THOM[^;]*?)[;\s](?:.*SW-Version\/.*)*(LF[^;]+);?,0,1,0,0,0,1
(HipChat)/?(\d+)?,0,0,0,0,1,1
"(Java)[/ ]{0,1}\d+\.(\d+)\.(\d+)[_-]*([a-zA-Z0-9]+)*",0,0,0,0,1,1
"(Java)[\/ ]{0,1}\d+\.(\d+)\.(\d+)[_-]*([a-zA-Z0-9]+)*",0,1,0,0,0,1
(LG Player|Doppler|FancyMusic|MediaMonkey|Clementine) (\d+)\.(\d+)\.?([^.\s]+)?\.?([^.\s]+)?,0,1,0,0,0,1
(Linux)[ \/](\d+)\.(\d+)(?:\.(\d+))?.*gentoo,0,1,0,0,0,1
(MSIE) (\d+)\.(\d+)([a-z]\d?)?;.* MSIECrawler,0,1,0,0,1,2
(MozillaDeveloperPreview)/(\d+)\.(\d+)([ab]\d+[a-z]*)?,0,0,0,0,1,1
(Namoroka|Shiretoko|Minefield)/(\d+)\.(\d+)([ab]\d+[a-z]*)?,0,0,0,0,1,1
(Netscape6)\/(\d+)\.(\d+)\.?([ab]?\d+)?,0,1,0,0,0,1
(Obigo|OBIGO)[^\d]*(\d+)(?:.(\d+))?,0,1,0,0,0,1
(Opera Tablet).*Version\/(\d+)\.(\d+)(?:\.(\d+))?,0,1,0,0,0,1
(Opera)\/9.80.*Version\/(\d+)\.(\d+)(?:\.(\d+))?,0,1,0,0,0,1
(PaleMoon)\/(\d+)\.(\d+)\.?(\d+)?,0,1,0,0,0,1
(PodCruncher|Downcast)[ /]?(\d+)\.?(\d+)?\.?(\d+)?\.?(\d+)?,0,0,0,0,1,1
(PodCruncher|Downcast)[ \/]?(\d+)\.?(\d+)?\.?(\d+)?\.?(\d+)?,0,1,0,0,0,1
(Sony)(?:BDP\/|\/)?([^ \/;\)]+)[ \/;\)],0,1,0,0,0,1
(Version)\/(\d+)\.(\d+)(?:\.(\d+))?.*Safari\/,0,1,0,0,0,1
(Zune|BeyondPod) (\d+)\.?(\d+)?[\);],0,1,0,0,0,1
"([ \t]*)\S(?:,?[^,\r\n]+)*(?:,(?:\r?\n|\r)\1[ \t]+\S(?:,?[^,\r\n]+)*)*",0,1,0,0,0,1
([A-Z]+)([A-Z][a-z]),0,1,0,0,0,1
([Sap]+),0,0,0,0,1,1
"(\$)(evoque|overlay)(\{(%)?)(\s*[#\w\-\\.]+[^=,%}]+?)?",0,1,0,0,1,2
(\.\w+\b)(\s*=\s*)([^;]*)(\s*;),0,1,1,1,0,3
(\s*)(?:(.+)(\s*)(=)(\s*))?(.+)(\()(.*)(\))(\s*),0,1,1,1,0,3
(\s*)(?:=+ +)+=+(?:(?:\r?\n|\r)\1.+)+(?:\r?\n|\r)\1(?:=+ +)+=+(?=(?:\r?\n|\r){2}|\s*$),0,1,0,0,0,1
(\s*)(?:\+[=-]+)+\+(?:\r?\n|\r)(?:\1(?:[+|].+)+[+|](?:\r?\n|\r))+\1(?:\+[=-]+)+\+,0,1,1,1,0,3
(\w+\s+Mac OS X\s+\w+\s+(\d+).(\d+).(\d+).*),0,1,0,0,1,2
(\{\s+)(\S+)(\s+[^}]+\s+\}\s),0,1,1,1,0,3
"(^([\w ]+,?[\w ]+)?[\w ]+,?[\w ]+\d+:\d+(:\d+)?[\w ]?|^\d{1,4}[/-]\d{1,4}[/-]\d{1,4}|^\w+, \w+ \d+, \d{4})",0,0,1,1,1,3
"(^([\w ]+,?[\w ]+)?[\w ]+,?[\w ]+\d+:\d+(:\d+)?[\w ]?|^\d{1,4}[\/-]\d{1,4}[\/-]\d{1,4}|^\w+, \w+ \d+, \d{4})",0,1,0,0,0,1
"(^[ \t]*)(?:(?=\S)(?:[^{}\r\n:()]|::?[\w-]+(?:\([^\)\r\n]*\))?|\{[^}\r\n]+\})+)(?:(?:\r?\n|\r)(?:\1(?:(?=\S)(?:[^{}\r\n:()]|::?[\w-]+(?:\([^\)\r\n]*\))?|\{[^}\r\n]+\})+)))*(?:,$|\{|(?=(?:\r?\n|\r)(?:\{|\1[ \t]+)))",0,0,1,1,0,2
(^[^\S\r\n]*)---(?:\r\n?|\n)(?:.*(?:\r\n?|\n))*?[^\S\r\n]*\.\.\.$,0,1,1,0,0,2
(^|[^#])(?:[:{\[]+\}[^{]*),0,1,0,0,0,1
(^|[^\{\\\\$])#.*,0,0,0,0,1,1
(^|\r?\n|\r)/[\t ]*(?:(?:\r?\n|\r)(?:.*(?:\r?\n|\r))*?(?:\\\\(?=[\t ]*(?:\r?\n|\r))|$)|\S.*),0,0,1,0,0,1
(^|\r?\n|\r)\/[\t ]*(?:(?:\r?\n|\r)(?:.*(?:\r?\n|\r))*?(?:\\\\(?=[\t ]*(?:\r?\n|\r))|$)|\S.*),0,1,0,0,0,1
(amarok)/([^.\s]+)\.([^.\s]+)?\.?([^.\s]+)?,0,0,0,0,1,1
(amarok)\/([^.\s]+)\.([^.\s]+)?\.?([^.\s]+)?,0,1,0,0,0,1
(android)\s(?:mobile\/)(\d+)(?:\.?(\d+))?(?:\.?(\d+))?,0,1,0,0,0,1
(conkeror|Conkeror)\/(\d+)\.(\d+)\.?(\d+)?,0,1,0,0,0,1
(ftp|FTP|sftp|SFTP|http|HTTP|https|HTTPS|webdav|WEBDAV|smb|SMB)://(.+:.+@)*([^:]+)([ 	]*:[0-9]+)*([ 	]*:)*(/*?.*),0,0,1,0,1,2
(ftp|FTP|sftp|SFTP|http|HTTP|https|HTTPS|webdav|WEBDAV|smb|SMB)://(.+:.+@)*([^:]+?/*)([ 	]*:[0-9]+)*([ 	]*:)*(/.*),0,0,1,1,1,3
