regex,rat,redos,rescue,revealer,saferegex,k
"((http|ftp|https)://w{3}[\d]*.|(http|ftp|https)://|w{3}[\d]*.)([\w\d\._\-#\(\)\[\]\\\\,;:]+@[\w\d\._\-#\(\)\[\]\\\\,;:])?([a-z0-9]+.)*[a-z\-0-9]+.([a-z]{2,3})?[a-z]{2,6}(:[0-9]+)?(/[/a-z0-9\._\-,]+)*[a-z0-9\-_\.\s\%]+(\?[a-z0-9=%&\.\-,#]+)?",1,0,1,1,0,3
"((http|ftp|https):\/\/w{3}[\d]*.|(http|ftp|https):\/\/|w{3}[\d]*.)([\w\d\._\-#\(\)\[\]\\\\,;:]+@[\w\d\._\-#\(\)\[\]\\\\,;:])?([a-z0-9]+.)*[a-z\-0-9]+.([a-z]{2,3})?[a-z]{2,6}(:[0-9]+)?(\/[\/a-z0-9\._\-,]+)*[a-z0-9\-_\.\s\%]+(\?[a-z0-9=%&\.\-,#]+)?",0,1,0,0,0,1
"((http|ftp|https|ftps)://)?[\w\-_\.]+\.(([0-9]{1,3})|([a-zA-Z]{2,3})|(aero|arpa|asia|coop|info|jobs|mobi|museum|name|travel))+(:[0-9]+)?/?(([\w\-\.,@^%:/~\+#]*[\w\-\@^%/~\+#])((\?[a-zA-Z0-9\[\]\-\._+%\$#\=~,]*=[a-zA-Z0-9\[\]\-\._+%\$#\=~,]*)+(&[a-zA-Z0-9\[\]\-\._+%\$#\=~,]*=[a-zA-Z0-9\[\]\-\._+%\$#\=~,]*)*)?)?",0,0,0,0,1,1
"((http|ftp|https|ftps):\/\/)?[\w\-_\.]+\.(([0-9]{1,3})|([a-zA-Z]{2,3})|(aero|arpa|asia|coop|info|jobs|mobi|museum|name|travel))+(:[0-9]+)?\/?(([\w\-\.,@^%:\/~\+#]*[\w\-\@^%\/~\+#])((\?[a-zA-Z0-9\[\]\-\._+%\$#\=~,]*=[a-zA-Z0-9\[\]\-\._+%\$#\=~,]*)+(&[a-zA-Z0-9\[\]\-\._+%\$#\=~,]*=[a-zA-Z0-9\[\]\-\._+%\$#\=~,]*)*)?)?",0,1,0,0,0,1
"((http|https|ftp|telnet|gopher|ms\-help|file|notes)://)?(([a-z][\w~%!&,;=\-\.$\(\)\*\+]*)(:.*)?@)?(([a-z0-9][\w\-]*[a-z0-9]*\.)*(((([a-z0-9][\w\-]*[a-z0-9]*)(\.[a-z0-9]+)?)|(((25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.){3}(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)))(:[0-9]+)?))?(((/([\w`~!$=;\-\+\.\^\(\)\|\{\}\[\]]|(%\d\d))+)*/([\w`~!$=;\-\+\.\^\(\)\|\{\}\[\]]|(%\d\d))*)(\?[^#]+)?(#[a-z0-9]\w*)?)?",1,0,0,0,0,1
"((http|https|ftp|telnet|gopher|ms\-help|file|notes):\/\/)?(([a-z][\w~%!&,;=\-\.$\(\)\*\+]*)(:.*)?@)?(([a-z0-9][\w\-]*[a-z0-9]*\.)*(((([a-z0-9][\w\-]*[a-z0-9]*)(\.[a-z0-9]+)?)|(((25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)\.){3}(25[0-5]|2[0-4][0-9]|[01]?[0-9][0-9]?)))(:[0-9]+)?))?(((\/([\w`~!$=;\-\+\.\^\(\)\|\{\}\[\]]|(%\d\d))+)*\/([\w`~!$=;\-\+\.\^\(\)\|\{\}\[\]]|(%\d\d))*)(\?[^#]+)?(#[a-z0-9]\w*)?)?",0,1,0,0,0,1
((ht|f)tp(s?))(:((\/\/)(?!\/)))(((w){3}\.)?)([a-zA-Z0-9\-_]+(\.(com|edu|gov|int|mil|net|org|biz|info|name|pro|museum|co\.uk)))(\/(?!\/))(([a-zA-Z0-9\-_\/]*)?)([a-zA-Z0-9])+\.((jpg|jpeg|gif|png)(?!(\w|\W))),0,1,0,0,0,1
((mailto\:|(news|(ht|f)tp(s?))\://){1}\S+),0,0,0,0,1,1
((v|[\\\/])\W*[i1]\W*[a@]\W*g\W*r\W*[a@]|v\W*[i1]\W*[c]\W*[o0]\W*d\W*[i1]\W*n),0,1,0,0,1,2
"((www|http)(\W+\S+[^).,:;?\]\} \r\n$]+))",0,1,0,0,0,1
